bead_id,title,status_in_beads,dependency_summary,acceptance_criteria_summary,files_checked,implementation_verdict,evidence,tests_covering_it,follow_up_needed
sam-pjm.7,Implement transcript overlay and visibility controls,closed,parent-child:sam-pjm; blocks:sam-pjm.1; blocks:sam-pjm.6,Overlay shows live and final transcript updates. | Visibility is user-configurable. | Overlay does not interfere with core orb interactions.,app/Samantha/TranscriptOverlay.swift; app/Samantha/OrbWindow.swift,Partially complete,"Transcript overlay source and visibility storage exist, but the UI path cannot be verified without the missing project/build target.",No Swift tests found,Yes - validate overlay behavior in the built app.
sam-u63,"Strengthen agent prompt for proactive memory usage - save after every chat, lookup on every conversation start",closed,None,"The SYSTEM_PROMPT must explicitly instruct the agent to: | 1. Always search memory at the start of every conversation for user context | 2. Always save key facts, preferences, and conversation outcomes to memory after every exchange | 3. Proactively write notes about the user's projects, preferences, and patterns | 4. Never forget to use memory_save and memory_search tools | 5. Reference stored memories naturally in conversation | This is critical - LLM agents commonly forget to use memory tools without very explicit prompting.",backend/samantha/prompts.py,Verified complete,SYSTEM_PROMPT now strongly instructs memory search at conversation start and memory_save after meaningful exchanges.,backend/tests/test_prompts.py,No
sam-xrl,Memory Platform,closed,blocks:sam-739,Memory DB schema and indexes are stable. | Save/search flows are reliable and tested. | Daily logs and promotion hooks are wired.,backend/samantha/storage.py; backend/samantha/memory.py; backend/samantha/tools.py; backend/samantha/runtime.py,Verified complete,"Storage, schema, save/search flows, and runtime-backed daily-log/promotion hooks are now all implemented and covered by tests.",backend/tests/test_storage.py; backend/tests/test_memory.py; backend/tests/test_runtime.py; backend/tests/test_e2e.py,No
sam-xrl.1,Bootstrap ~/.samantha storage layout and lifecycle management,closed,blocks:sam-739.1; parent-child:sam-xrl,Required directories/files are created idempotently. | Permission errors are surfaced clearly. | Startup does not proceed with partial initialization.,backend/samantha/storage.py,Verified complete,bootstrap_storage creates the expected ~/.samantha layout idempotently and preserves existing templates.,backend/tests/test_storage.py,No
sam-xrl.2,Implement SQLite schema and migration framework for memory,closed,parent-child:sam-xrl; blocks:sam-xrl.1,Initial schema is created on first run. | Migration version tracking is implemented. | Failed migrations roll back safely.,backend/samantha/memory.py,Verified complete,"SQLite schema versioning, migrations, connection bootstrap, and reopen/idempotency behavior are implemented and tested.",backend/tests/test_memory.py,No
sam-xrl.3,Implement FTS5 and vector index integration,closed,parent-child:sam-xrl; blocks:sam-xrl.2,FTS and vector indexes are created and maintained. | Index updates occur with memory writes. | Query latency is measured and acceptable.,backend/samantha/memory.py,Partially complete,"FTS5 and sqlite-vec integration are implemented and tested, but there is no measured latency artifact or explicit performance guard despite the acceptance criteria.",backend/tests/test_memory.py,Yes - add a benchmark or documented latency measurement if the criterion still stands.
sam-xrl.4,Implement memory_save with tagging and deduplication rules,closed,parent-child:sam-xrl; blocks:sam-xrl.3,Save logic enforces basic quality filters. | Tags are persisted and queryable. | Duplicate suppression prevents memory spam.,backend/samantha/memory.py; backend/samantha/tools.py,Verified complete,"memory save path supports tags, source, embeddings, and deduplication, and is exposed through the memory_save tool.",backend/tests/test_memory.py; backend/tests/test_e2e.py::test_memory_save_search_roundtrip,No
sam-xrl.5,Implement memory_search with hybrid retrieval scoring,closed,parent-child:sam-xrl; blocks:sam-xrl.3,Search returns top-N relevant memories. | Hybrid scoring is deterministic and tunable. | Returned payload is concise and structured.,backend/samantha/memory.py; backend/samantha/tools.py,Verified complete,Hybrid FTS/vector retrieval with deterministic weighted scoring is implemented and exercised by dedicated tests.,backend/tests/test_memory.py; backend/tests/test_e2e.py::test_memory_save_search_roundtrip,No
sam-xrl.6,Implement daily log append and memory promotion hooks,closed,parent-child:sam-xrl; blocks:sam-xrl.1; blocks:sam-xrl.4,Every turn appends to daily logs reliably. | Promotion hooks run only on qualifying signals. | Log format is parseable for later analysis.,backend/samantha/memory.py; backend/samantha/tools.py; backend/samantha/prompts.py; backend/samantha/runtime.py,Verified complete,"Final user/assistant turns now append parseable JSON daily-log entries at runtime, and explicit `memory_save` calls record parseable promotion signals.",backend/tests/test_memory.py; backend/tests/test_runtime.py; backend/tests/test_e2e.py::test_memory_daily_log_roundtrip,No
sam-xrl.7,Add memory unit and migration test coverage,closed,parent-child:sam-xrl; blocks:sam-xrl.2; blocks:sam-xrl.3; blocks:sam-xrl.4; blocks:sam-xrl.5; blocks:sam-xrl.6,"Tests cover setup, migration, save, search, and logging. | Edge cases (empty queries, bad paths) are included. | Test suite is runnable in CI and locally.",backend/tests/test_memory.py,Verified complete,"Memory tests cover schema creation, migrations, save/search behavior, logging, promotion, and edge cases.",backend/tests/test_memory.py,No
